table with row headers in column B and column headers in rows 3 through 4,,,,,
"Annual Estimates of Resident Population Change for Incorporated Places of 50,000 or More in 2018, Ranked by Percent Change: July 1, 2018 to July 1, 2019",,,,,
Rank,Geographic Area,Population Estimate,,"Change, 2018 to 2019",
,,"July 1, 2018","July 1, 2019",Number,Percent
1,"Leander city, Texas","55,924","62,608","6,684",12.0
2,"Apex town, North Carolina","53,859","59,300","5,441",10.1
3,"Chico city, California","94,342","103,301","8,959",9.5
4,"Doral city, Florida","60,762","65,741","4,979",8.2
5,"Bentonville city, Arkansas","51,103","54,909","3,806",7.4
6,"Meridian city, Idaho","106,464","114,161","7,697",7.2
7,"Georgetown city, Texas","74,275","79,604","5,329",7.2
8,"Buckeye city, Arizona","74,339","79,620","5,281",7.1
9,"New Braunfels city, Texas","84,495","90,209","5,714",6.8
10,"Redmond city, Washington","67,436","71,929","4,493",6.7
11,"Frisco city, Texas","188,452","200,490","12,038",6.4
12,"Fort Myers city, Florida","82,229","87,103","4,874",5.9
13,"Lehi city, Utah","65,958","69,724","3,766",5.7
14,"Castle Rock town, Colorado","65,000","68,484","3,484",5.4
15,"Milpitas city, California","80,208","84,196","3,988",5.0
16,"Goodyear city, Arizona","82,873","86,840","3,967",4.8
17,"Maricopa city, Arizona","50,028","52,127","2,099",4.2
18,"Wylie city, Texas","51,003","53,067","2,064",4.0
19,"Conroe city, Texas","87,578","91,079","3,501",4.0
20,"Lacey city, Washington","50,600","52,592","1,992",3.9
21,"Bonita Springs city, Florida","57,398","59,637","2,239",3.9
22,"McKinney city, Texas","191,748","199,177","7,429",3.9
23,"Murfreesboro city, Tennessee","141,442","146,900","5,458",3.9
24,"South Jordan city, Utah","73,837","76,598","2,761",3.7
25,"Port St. Lucie city, Florida","194,808","201,846","7,038",3.6
26,"Caldwell city, Idaho","56,478","58,481","2,003",3.5
27,"Round Rock city, Texas","128,849","133,372","4,523",3.5
28,"Commerce City city, Colorado","58,324","60,336","2,012",3.4
29,"Kirkland city, Washington","89,909","93,010","3,101",3.4
30,"Henderson city, Nevada","309,518","320,189","10,671",3.4
31,"Parker town, Colorado","55,813","57,706","1,893",3.4
32,"North Port city, Florida","68,438","70,724","2,286",3.3
33,"Cedar Park city, Texas","76,903","79,462","2,559",3.3
34,"Chino city, California","91,356","94,371","3,015",3.3
35,"Ankeny city, Iowa","65,248","67,355","2,107",3.2
36,"Edinburg city, Texas","98,036","101,170","3,134",3.2
37,"Bradenton city, Florida","57,601","59,439","1,838",3.2
38,"Nampa city, Idaho","96,213","99,277","3,064",3.2
39,"Tracy city, California","91,818","94,740","2,922",3.2
40,"Folsom city, California","78,842","81,328","2,486",3.2
41,"Temple city, Texas","76,165","78,439","2,274",3.0
42,"Bend city, Oregon","97,620","100,421","2,801",2.9
43,"Surprise city, Arizona","137,717","141,664","3,947",2.9
44,"St. George city, Utah","87,113","89,587","2,474",2.8
45,"Casa Grande city, Arizona","57,019","58,632","1,613",2.8
46,"Brookhaven city, Georgia","54,029","55,554","1,525",2.8
47,"Bowling Green city, Kentucky","68,633","70,543","1,910",2.8
48,"Odessa city, Texas","120,037","123,334","3,297",2.7
49,"Grapevine city, Texas","53,809","55,281","1,472",2.7
50,"Midland city, Texas","142,173","146,038","3,865",2.7
51,"Menifee city, California","92,249","94,756","2,507",2.7
52,"North Las Vegas city, Nevada","245,349","251,974","6,625",2.7
53,"Cape Coral city, Florida","189,468","194,495","5,027",2.7
54,"Rocklin city, California","67,065","68,823","1,758",2.6
55,"Greenville city, South Carolina","68,849","70,635","1,786",2.6
56,"Avondale city, Arizona","85,715","87,931","2,216",2.6
57,"Franklin city, Tennessee","81,027","83,097","2,070",2.6
58,"Clovis city, California","111,824","114,584","2,760",2.5
59,"Palm Coast city, Florida","87,660","89,800","2,140",2.4
60,"Ontario city, California","180,718","185,010","4,292",2.4
61,"Coeur d'Alene city, Idaho","51,210","52,414","1,204",2.4
62,"Lakeville city, Minnesota","65,778","67,317","1,539",2.3
63,"Denton city, Texas","138,315","141,541","3,226",2.3
64,"Mansfield city, Texas","70,796","72,419","1,623",2.3
65,"Concord city, North Carolina","94,192","96,341","2,149",2.3
66,"Woodbury city, Minnesota","71,231","72,828","1,597",2.2
67,"Sanford city, Florida","60,107","61,448","1,341",2.2
68,"Dublin city, California","63,423","64,826","1,403",2.2
69,"Madison city, Alabama","50,491","51,593","1,102",2.2
70,"Reno city, Nevada","250,146","255,601","5,455",2.2
71,"Noblesville city, Indiana","63,303","64,668","1,365",2.2
72,"Peoria city, Arizona","172,263","175,961","3,698",2.1
73,"Lewisville city, Texas","106,938","109,212","2,274",2.1
74,"Tempe city, Arizona","191,746","195,805","4,059",2.1
75,"Framingham city, Massachusetts","72,909","74,416","1,507",2.1
76,"Bellingham city, Washington","90,464","92,314","1,850",2.0
77,"North Charleston city, South Carolina","113,077","115,382","2,305",2.0
78,"Fishers city, Indiana","93,407","95,310","1,903",2.0
79,"Flower Mound town, Texas","77,562","79,135","1,573",2.0
80,"Mount Pleasant town, South Carolina","89,869","91,684","1,815",2.0
81,"Irvine city, California","281,732","287,401","5,669",2.0
82,"Killeen city, Texas","148,683","151,666","2,983",2.0
83,"Kennewick city, Washington","82,696","84,347","1,651",2.0
84,"Moreno Valley city, California","208,889","213,055","4,166",2.0
85,"Mesa city, Arizona","507,945","518,012","10,067",2.0
86,"Apple Valley city, Minnesota","54,065","55,135","1,070",2.0
87,"Allen city, Texas","103,577","105,623","2,046",2.0
88,"West Des Moines city, Iowa","66,605","67,899","1,294",1.9
89,"Carmel city, Indiana","99,143","101,068","1,925",1.9
90,"South Fulton city, Georgia","97,278","99,155","1,877",1.9
91,"St. Peters city, Missouri","57,123","58,212","1,089",1.9
92,"Tulare city, California","64,274","65,496","1,222",1.9
93,"Pflugerville city, Texas","64,172","65,380","1,208",1.9
94,"Sioux Falls city, South Dakota","180,398","183,793","3,395",1.9
95,"Rowlett city, Texas","66,126","67,339","1,213",1.8
96,"Roseville city, California","138,953","141,500","2,547",1.8
97,"Fort Worth city, Texas","893,216","909,585","16,369",1.8
98,"Lake Elsinore city, California","68,051","69,283","1,232",1.8
99,"Spokane Valley city, Washington","99,308","101,060","1,752",1.8
100,"Rapid City city, South Dakota","76,170","77,503","1,333",1.8
101,"Manteca city, California","81,603","83,028","1,425",1.7
102,"Atlanta city, Georgia","498,183","506,811","8,628",1.7
103,"Flagstaff city, Arizona","73,762","75,038","1,276",1.7
104,"Bryan city, Texas","84,817","86,276","1,459",1.7
105,"San Marcos city, Texas","63,688","64,776","1,088",1.7
106,"Austin city, Texas","962,469","978,908","16,439",1.7
107,"Gilbert town, Arizona","249,914","254,114","4,200",1.7
108,"Smyrna town, Tennessee","50,748","51,586",838,1.7
109,"Broomfield city, Colorado","69,324","70,465","1,141",1.6
110,"Warner Robins city, Georgia","76,365","77,617","1,252",1.6
111,"Carrollton city, Texas","137,013","139,248","2,235",1.6
112,"College Station city, Texas","116,035","117,911","1,876",1.6
113,"Durham city, North Carolina","274,557","278,993","4,436",1.6
114,"Rochester city, Minnesota","117,047","118,935","1,888",1.6
115,"Phoenix city, Arizona","1,654,675","1,680,992","26,317",1.6
116,"Tigard city, Oregon","54,652","55,514",862,1.6
117,"Lakeland city, Florida","110,421","112,136","1,715",1.6
118,"Huntersville town, North Carolina","57,212","58,098",886,1.5
119,"Chandler city, Arizona","257,186","261,165","3,979",1.5
120,"Seattle city, Washington","742,235","753,675","11,440",1.5
121,"Lake Havasu City city, Arizona","55,020","55,865",845,1.5
122,"Rogers city, Arkansas","67,635","68,669","1,034",1.5
123,"Denver city, Colorado","716,265","727,211","10,946",1.5
124,"Thornton city, Colorado","139,352","141,464","2,112",1.5
125,"Charlotte city, North Carolina","872,514","885,708","13,194",1.5
126,"Albany city, Oregon","54,518","55,338",820,1.5
127,"Jonesboro city, Arkansas","77,234","78,394","1,160",1.5
128,"Palm Bay city, Florida","113,854","115,552","1,698",1.5
129,"Camarillo city, California","68,883","69,888","1,005",1.5
130,"Southaven city, Mississippi","54,979","55,780",801,1.5
131,"Loveland city, Colorado","77,752","78,877","1,125",1.4
132,"League City city, Texas","106,005","107,536","1,531",1.4
133,"Alpharetta city, Georgia","66,257","67,213",956,1.4
134,"Overland Park city, Kansas","192,724","195,494","2,770",1.4
135,"Scottsdale city, Arizona","254,479","258,069","3,590",1.4
136,"Idaho Falls city, Idaho","62,023","62,888",865,1.4
137,"Fremont city, California","237,811","241,110","3,299",1.4
138,"Chula Vista city, California","270,819","274,492","3,673",1.4
139,"Cary town, North Carolina","168,042","170,282","2,240",1.3
140,"Murrieta city, California","114,715","116,223","1,508",1.3
141,"Carson City, Nevada","55,202","55,916",714,1.3
142,"Greenwood city, Indiana","58,701","59,458",757,1.3
143,"Summerville town, South Carolina","51,880","52,549",669,1.3
144,"Burlington city, North Carolina","53,911","54,606",695,1.3
145,"Hanford city, California","56,971","57,703",732,1.3
146,"Blue Springs city, Missouri","55,126","55,829",703,1.3
147,"Pasco city, Washington","74,485","75,432",947,1.3
148,"Maple Grove city, Minnesota","71,711","72,622",911,1.3
149,"Aurora city, Colorado","374,572","379,289","4,717",1.3
150,"Elk Grove city, California","172,603","174,775","2,172",1.3
151,"Las Vegas city, Nevada","643,228","651,319","8,091",1.3
152,"Spokane city, Washington","219,332","222,081","2,749",1.3
153,"Edmond city, Oklahoma","92,893","94,054","1,161",1.2
154,"Tyler city, Texas","105,668","106,985","1,317",1.2
155,"Suffolk city, Virginia","90,975","92,108","1,133",1.2
156,"Huntsville city, Alabama","198,125","200,574","2,449",1.2
157,"Delano city, California","52,921","53,573",652,1.2
158,"Port Orange city, Florida","64,055","64,842",787,1.2
159,"Palm Beach Gardens city, Florida","57,007","57,704",697,1.2
160,"Rio Rancho city, New Mexico","97,982","99,178","1,196",1.2
161,"Richardson city, Texas","119,878","121,323","1,445",1.2
162,"Richland city, Washington","57,533","58,225",692,1.2
163,"Colorado Springs city, Colorado","472,567","478,221","5,654",1.2
164,"Pocatello city, Idaho","55,982","56,637",655,1.2
165,"Auburn city, Alabama","65,495","66,259",764,1.2
166,"Sacramento city, California","507,737","513,624","5,887",1.2
167,"Fort Collins city, Colorado","168,324","170,243","1,919",1.1
168,"Deltona city, Florida","91,718","92,757","1,039",1.1
169,"Clarksville city, Tennessee","156,376","158,146","1,770",1.1
